age,gender,education,review
30,Female,School,Average
68,Female,UG,Poor
70,Female,PG,Good
72,Female,PG,Good
16,Female,UG,Average
31,Female,School,Average
18,Male,School,Good
60,Female,School,Poor
65,Female,UG,Average
74,Male,UG,Good
98,Female,UG,Good
74,Male,UG,Good
51,Male,School,Poor
57,Female,School,Average
15,Male,PG,Poor
75,Male,UG,Poor
59,Male,UG,Poor
22,Female,UG,Poor
19,Male,School,Good
97,Male,PG,Poor
57,Female,School,Average
32,Male,PG,Average
18,Female,PG,Poor
96,Female,School,Good
16,Female,PG,Average
57,Female,School,Good
53,Female,PG,Poor
69,Female,PG,Poor
48,Male,School,Poor
83,Female,UG,Average
73,Male,UG,Average
22,Female,School,Poor
92,Male,UG,Average
89,Female,PG,Good
86,Male,School,Average
74,Male,School,Poor
34,Female,UG,Good
94,Male,PG,Average
45,Female,School,Good
76,Male,PG,Poor
39,Male,School,Good
23,Male,PG,Good
30,Female,PG,Good
27,Male,PG,Poor
77,Female,UG,Average
61,Male,PG,Poor
64,Female,PG,Poor
38,Female,PG,Good
39,Female,UG,Good
25,Female,UG,Good
